,ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region,lat,lon
17,563436,Remetschwil-Hägglingen leicht,1 - easy,E-MTB,23.78,-,366,353,558.0,2,3,aargau,47.408348,8.330803999999999
18,280171,Veloroute Knonaueramt,2 - medium,Cycling,48.19,03:35,430,380,554.0,2,4,aargau,47.276543,8.339632
19,120809,Auf den Spuren der Hugenotten,1 - easy,Thematic route,6.54,01:45,102,397,508.0,0,2,aargau,47.378361,8.143979
20,120853,Höhenfahrten im Wynental,2 - medium,Cycling,25.36,02:15,560,496,781.0,2,3,aargau,47.250134,8.184494
21,120909,Zwischen Geschichte und Sagen,2 - medium,Hiking,13.41,03:30,95,433,484.0,1,3,aargau,47.276691,8.339441
22,280159,Freiämter Veloweg,2 - medium,Cycling,66.99,06:00,270,360,493.0,1,3,aargau,47.194176,8.396288
23,120827,Liebegger Infopfad,1 - easy,Thematic route,3.77,02:00,128,428,531.0,0,2,aargau,47.343491,8.11379
24,129557,Stübisberg,1 - easy,Hiking,7.96,02:00,115,441,675.0,2,2,aargau,47.268707,8.021453
25,476486,Tüfels Keller und Kindermuseum Baden,2 - medium,Hiking,11.07,03:06,274,347,788.0,0,4,aargau,47.398827000000004,8.303737
26,130819,Industrieweg Aabach: Etappe Lenzburg - Wildegg,1 - easy,Thematic route,6.21,02:30,31,352,406.0,0,2,aargau,47.391541,8.16929
27,254338,Horben - Sulzer Kreuz - Horben,1 - easy,Hiking,6.12,01:37,77,796,858.0,0,2,aargau,47.220325,8.325688000000001
28,129562,Fähre,1 - easy,Hiking,6.8,02:15,39,400,414.0,1,2,aargau,47.265507,7.831932000000001
29,296990,St. Burkards-Pilgerweg in Beinwil/Freiamt,0 - no rating,Pilgrimage,2.13,00:34,27,551,578.0,0,0,aargau,47.230152000000004,8.345985
30,129553,Hochwacht,2 - medium,Hiking,9.09,02:30,258,431,644.0,2,3,aargau,47.288146999999995,7.943241
31,120810,Mit Perimuk zum Haselbrünneli,1 - easy,Thematic route,5.13,02:30,251,390,619.0,0,2,aargau,47.413559,8.083934
32,174253,Die Wynentaler Hügeltour,2 - medium,Mountainbike,35.65,03:00,650,458,711.0,1,3,aargau,47.253646999999994,8.183961
33,120851,Zwischen Natur und Kultur im Freiamt,2 - medium,Cycling,36.93,02:15,248,360,493.0,2,3,aargau,47.351498,8.340104
34,613190,Kulturweg Limmat,1 - easy,Thematic route,8.82,02:36,39,350,388.0,0,2,aargau,47.475815000000004,8.30892
35,129644,Glashütten,1 - easy,Hiking,9.3,02:30,162,425,502.0,2,2,aargau,47.288146999999995,7.943241
36,541521,"Seengen, Schloss Hallwyl - Sarmenstorf - Bettwil - Oberschongau - Horben, Tageswanderung vom Schloss Hallwyl auf den Lindenberg zum Horben",0 - no rating,Hiking,18.98,05:04,387,448,835.0,0,0,aargau,47.323859999999996,8.196216
37,129559,Wigger-Schlössli,2 - medium,Hiking,11.99,03:00,333,431,656.0,2,3,aargau,47.288146999999995,7.943241
38,120867,Mit der Familie im Freiamt,1 - easy,Cycling,21.62,02:00,167,368,466.0,2,2,aargau,47.35215,8.340015
39,182404,Rund um den Baldeggersee,2 - medium,Mountainbike,36.22,03:24,447,449,809.0,1,3,aargau,47.251694,8.204945
40,129608,St. Urban,2 - medium,Hiking,10.34,02:30,234,408,591.0,2,3,aargau,47.265507,7.831932000000001
41,120814,Habsburger Weg 1. Etappe: Seengen - Wildegg,2 - medium,Hiking,15.55,04:02,176,354,487.0,1,3,aargau,47.323277000000004,8.194523
42,559481,Rund un Fischbach-Göslikon,1 - easy,Hiking,6.58,01:42,70,356,426.0,0,2,aargau,47.373894,8.304159
43,129564,Hagart,1 - easy,Hiking,6.83,02:00,225,431,650.0,1,2,aargau,47.288146999999995,7.943241
44,120932,Aussichtsreiche Bergroute,2 - medium,Cycling,46.69,04:15,584,384,776.0,2,4,aargau,47.391464,8.050543
45,120843,Nord-Süd-Route im Suhrental,2 - medium,Cycling,30.71,02:15,122,383,498.0,2,3,aargau,47.391253999999996,8.0517
46,467833,Staffelegg - Ruine Schenkenberg - Thalheim,1 - easy,Hiking,7.2,02:01,156,446,755.0,2,2,aargau,47.435398,8.066972999999999
47,129624,Rundwanderung Engelberg,2 - medium,Hiking,11.17,03:30,283,395,702.0,1,3,aargau,47.32008,7.899660000000001
48,897134,PanoramatourAG-Strihen-ZeiherHomberg,1 - easy,Mountainbike,25.29,01:31,756,438,740.0,1,1,aargau,47.462158,7.996060000000001
49,427191,"Leimbach AG, CH Hombergtour",1 - easy,Mountainbike,11.03,01:05,281,510,784.0,1,2,aargau,47.276859,8.163441
50,671212,Eichberg,2 - medium,E-MTB,50.63,03:21,1083,370,712.0,4,6,aargau,47.411792999999996,8.258977999999999
51,735245,"Leutwil, Aargau",1 - easy,Hiking,8.0,02:34,84,700,771.0,2,2,aargau,47.301453,8.163306
52,133117,Birmenstorfer Naturlehrpfad,1 - easy,Thematic route,1.88,01:00,95,399,496.0,0,2,aargau,47.463584999999995,8.249283
53,559319,Altberg mit Singeltrail,1 - easy,Mountainbike,24.82,01:51,353,405,625.0,2,2,aargau,47.465365999999996,8.333725
54,280935,Der Weg der Heiligen Bernarda in Auw,1 - easy,Thematic route,1.56,01:00,15,479,497.0,0,1,aargau,47.210033,8.367327000000001
55,129620,bikingZofingenregio_Lättentour,2 - medium,Mountainbike,36.46,03:00,805,436,747.0,3,4,aargau,47.290421,7.94753
56,580172,"Rundwanderung im Seetal Beinwil am See, Aargau",1 - easy,Hiking,9.73,02:10,232,515,690.0,1,3,aargau,47.266479,8.202376
57,628639,Walking Trail 2 Lenzburg,0 - no rating,Nordic Walking,9.16,02:06,141,398,507.0,0,0,aargau,47.383465,8.176299
58,129634,bikingZofingenregio_challengeTour,3 - difficult,Mountainbike,89.03,08:00,1716,391,702.0,4,6,aargau,47.290421,7.94746
59,545906,Wettingen-Lägern Hochwacht,2 - medium,Mountainbike,22.41,01:57,487,409,851.0,3,4,aargau,47.465221,8.333657
60,624204,hajamithi Frick,1 - easy,Hiking,16.78,03:50,447,410,604.0,1,2,aargau,47.508995,8.030663
61,129632,bikingZofingenregio_Boowald-Tour,1 - easy,Mountainbike,24.37,02:00,206,414,565.0,2,2,aargau,47.295059,7.9038699999999995
62,543430,Seiten-Moränen-Tour Schöftland,2 - medium,Mountainbike,26.87,01:40,618,448,679.0,3,4,aargau,47.259727000000005,8.043612
63,836001,Aargauer Tour,2 - medium,Mountainbike,56.69,03:45,1050,353,737.0,3,4,aargau,47.342579,8.347401
64,757496,Rundkurs mit Start & Ende in Endingen,1 - easy,Hiking,12.41,02:52,275,400,621.0,1,4,aargau,47.533012,8.29037
65,129628,Auenlandschaft Ruppoldingen,1 - easy,Hiking,4.4,01:00,5,391,402.0,1,2,aargau,47.3204,7.89894
66,464419,Geissberg Runde Jurapark CH,2 - medium,Mountainbike,17.81,01:34,395,381,700.0,3,3,aargau,47.560299,8.155592
67,507875,Winterwanderung,1 - easy,Hiking,14.07,02:52,216,390,506.0,1,3,aargau,47.411606,8.230246000000001
68,525576,Rotberg_Geissberg,2 - medium,Mountainbike,19.3,01:49,509,377,639.0,4,5,aargau,47.560482,8.154786
69,753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,1 - easy,Hiking,10.59,02:55,398,353,631.0,1,4,aargau,47.507046,8.013009
70,129616,Rottannhubel - Galgenberg,2 - medium,Hiking,11.95,04:00,231,431,648.0,1,3,aargau,47.288639,7.94262
71,661138,Gemütliche Runde im unteren Achenberg,1 - easy,Hiking,3.87,01:16,118,352,462.0,3,3,aargau,47.584216999999995,8.291433999999999
72,476483,Aargauer Kunsthaus und Wildpark Roggenhausen,1 - easy,Hiking,6.28,01:41,121,381,461.0,0,2,aargau,47.391777000000005,8.051894
73,129626,Wissberg - Benzligen,2 - medium,Hiking,12.25,03:00,151,411,503.0,1,3,aargau,47.305240999999995,7.89953
74,129638,bikingZofingenregio_Säli-/Engelberg-Tour,2 - medium,Mountainbike,10.93,01:30,482,406,702.0,4,3,aargau,47.320271000000005,7.90793
75,533192,"Feld-, Wald- und Wiesentour",1 - easy,Hiking,18.32,04:13,496,593,782.0,3,3,aargau,47.223602,8.149536999999999
76,161124,Markgräferland,0 - no rating,Racing,95.04,05:38,680,228,709.0,0,0,aargau,47.558868,7.785
77,86433,Rundwanderung 1 Von Villnachern am Schryberhof vorbei Richtung Bözberg. Auf dem Panoramaweg bis zur Grabensrasse. Auf der Grabenstrasse zum Kohlpla...,1 - easy,Hiking,7.9,01:41,64,360,519.0,3,3,aargau,47.469840999999995,8.161625
78,402418,Rundweg zur Linner Linde,1 - easy,Hiking,4.3,-,56,509,581.0,1,2,aargau,47.470729999999996,8.132538
79,402610,"Strecke für Junghunde, Hägglingen, Aargau",1 - easy,Hiking,2.3,00:37,8,477,484.0,1,1,aargau,47.378983000000005,8.279587
80,840423,Von der Linner Linde zur Burgruine Schenkenberg,1 - easy,Hiking,7.61,02:01,221,447,736.0,3,4,aargau,47.470432,8.132667999999999
81,294082,Zofingen-Oftringen-Safenwil-Kölliken-Holziken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,0 - no rating,Cycling,41.95,02:58,492,426,656.0,0,0,aargau,47.290295,7.947778
82,679751,Mumpfer Flue - Trail Running,1 - easy,Trailrunning,2.24,00:29,188,306,492.0,2,4,aargau,47.544253999999995,7.92245
83,253313,Jurahöhenweg 2. Etappe | Baden - Brugg,0 - no rating,Hiking,9.05,-,325,331,571.0,0,0,aargau,47.473351,8.305908
84,294083,Zofingen-Brittnau-Pfaffnau-Glashütten-Fulenbach-Aarburg-Walterswil-Kölliken-Uerkheim-Zofingen,0 - no rating,Cycling,57.05,04:01,542,395,581.0,0,0,aargau,47.290375,7.947871000000001
85,253312,Jurahöhenweg 1. Etappe | Dielsdorf - Baden,0 - no rating,Hiking,0.0,-,694,357,860.0,0,0,aargau,47.481419,8.458772
86,294081,Zofingen-Brittnau-Pfaffnau-St. Urban-Glashütten-Fulenbach-Boningen-Aarburg-Zofingen,0 - no rating,Cycling,40.45,02:48,278,395,546.0,0,0,aargau,47.290375,7.947844
87,740261,Fahrradweg von Bad Zurzach bis Weihach und zurück,1 - easy,E-Bike,31.3,01:50,195,335,398.0,2,3,aargau,47.590736,8.288494
88,253592,Jurahöhenweg 5. Etappe | Hauenstein - Balsthal,0 - no rating,Hiking,17.24,-,676,491,1055.0,0,0,aargau,47.377918,7.872076
89,435048,Aarewanderung Stilli Holderbank,1 - easy,Hiking,15.74,03:45,257,333,521.0,1,3,aargau,47.514679,8.232297
90,868641,Vom Homberg zur Sennhütten und zurück,1 - easy,Hiking,6.25,01:28,108,584,648.0,2,2,aargau,47.493973,8.138138
91,294087,Zofingen-Pfaffnau-Glashütten-Boningen-Oftringen-Kölliken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,0 - no rating,Cycling,73.85,05:11,754,398,656.0,0,0,aargau,47.290363,7.947787
92,887309,Staffelegg-Strihen Seite Asp,1 - easy,Hiking,4.5,00:58,109,665,802.0,1,1,aargau,47.448215000000005,8.040086
93,898948,Uhu Tour,1 - easy,Hiking,13.54,02:51,193,353,472.0,1,3,aargau,47.408566,8.218287
94,253315,Jurahöhenweg 3. Etappe | Brugg - Staffelegg,0 - no rating,Hiking,15.7,-,870,344,767.0,0,0,aargau,47.480957000000004,8.208657
95,357325,Zum Stahl der Steinzeit,1 - easy,Hiking,8.39,02:00,196,420,570.0,1,2,basel-region,47.425369,7.758727
96,132998,Chellenchöpfli & Passwang,2 - medium,Hiking,9.85,03:00,485,924,1204.0,2,3,basel-region,47.373665,7.699917999999999
97,812811,Wandererlebnis mit dem Bus - Augst - Saline,0 - no rating,Hiking,3.68,01:00,15,255,271.0,0,0,basel-region,47.534748,7.712880999999999
98,548333,Rundwanderung Farnsberg,1 - easy,Hiking,5.88,01:52,213,581,760.0,0,2,basel-region,47.495255,7.855785000000001
99,133037,Römertour: 2000 Jahre Rückblick,3 - difficult,Cycling,62.79,04:30,1046,264,739.0,2,5,basel-region,47.406734,7.871921
100,132993,Zunzgerhard & Obstplantagen,2 - medium,Hiking,9.97,02:45,320,359,604.0,1,3,basel-region,47.467281,7.786777000000001
101,371230,Gempenplateau-Tour,2 - medium,Mountainbike,40.64,03:00,782,257,730.0,3,3,basel-region,47.539646000000005,7.622567999999999
102,548336,Rundwanderung Wildenstein,1 - easy,Hiking,6.52,01:48,113,492,569.0,0,2,basel-region,47.424625,7.7575330000000005
103,130967,Olten-Belchen-Langenbruck-Olten,2 - medium,Mountainbike,30.66,04:00,745,391,1055.0,2,3,basel-region,47.348164000000004,7.901758
104,357322,Wahlen - Zum Stürmenchopf,2 - medium,Hiking,7.24,02:30,398,403,769.0,2,3,basel-region,47.402042,7.514636
105,377011,Bike Trail Arlesheim,2 - medium,Mountainbike,11.39,01:15,317,277,586.0,3,2,basel-region,47.489834,7.610861999999999
106,548337,Rundwanderung Chaltbrunnental - Chastelbach,2 - medium,Hiking,7.94,02:23,231,322,544.0,3,3,basel-region,47.441158,7.590742
107,812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,0 - no rating,Hiking,6.08,01:45,149,326,532.0,0,0,basel-region,47.46452,7.758561
108,357320,Ergolztal - Alte und neue Berge,2 - medium,Hiking,16.12,04:30,377,275,572.0,2,4,basel-region,47.491425,7.730161
109,130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,2 - medium,Hiking,16.51,04:30,580,319,690.0,1,4,basel-region,47.484497,7.731689
110,357291,Landwirtschaft (Ausflug in die Vergangenheit),1 - easy,Cycling,27.73,02:00,67,254,336.0,0,2,basel-region,47.484615000000005,7.730772999999999
111,320784,Rundwanderung Chatzenstieg-Huerewägli,2 - medium,Hiking,5.18,01:47,254,924,1145.0,0,3,basel-region,47.373589,7.70015
112,670385,Erlebnisweg passepartout,0 - no rating,Thematic route,10.02,02:48,160,449,632.0,0,0,basel-region,47.449169,7.939217999999999
113,613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,0 - no rating,Hiking,12.17,03:59,569,431,1000.0,0,0,basel-region,47.436516,7.850447999999999
114,357328,Waldenburg,1 - easy,Hiking,3.76,02:00,285,525,810.0,2,2,basel-region,47.380608,7.7515089999999995
115,246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,2 - medium,Hiking,8.71,02:45,306,295,496.0,2,3,basel-region,47.467696999999994,7.602552
116,610990,BLKB-Wanderung Reinach - Leywald - Reinach,0 - no rating,Hiking,4.49,01:10,58,307,364.0,0,0,basel-region,47.485867,7.591471
117,132995,Ruinen Wartenberg & Rebenweg,2 - medium,Hiking,7.37,02:00,255,286,479.0,1,3,basel-region,47.526367,7.647277000000001
118,114226,Blütenpracht im Baselbiet,2 - medium,Hiking,12.19,03:35,447,369,756.0,2,3,basel-region,47.523754,7.846814
119,1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,3 - difficult,Hiking,19.76,06:00,569,331,877.0,1,5,basel-region,47.422802000000004,7.500509
120,371235,Ergolz-Tour,2 - medium,Mountainbike,36.36,03:15,953,306,743.0,3,3,basel-region,47.484337,7.732074000000001
121,357321,"""Reigoldswil - Geheimnisse rund ums Horn""",2 - medium,Hiking,11.5,02:30,332,466,735.0,1,3,basel-region,47.38924,7.697794
122,133001,Syydebändel & Rebenweg,2 - medium,Hiking,13.21,03:30,390,370,574.0,1,3,basel-region,47.52383,7.846922999999999
123,548334,Liestaler Aussichtsturm - Sissacherfluh,2 - medium,Hiking,10.3,03:22,556,308,702.0,1,3,basel-region,47.484295,7.732122
124,156872,Basler Weg: Aesch - Beinwil Kloster,3 - difficult,Pilgrimage,20.14,06:16,761,302,877.0,0,5,basel-region,47.467506,7.601017
125,812810,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,0 - no rating,Hiking,11.8,03:20,248,372,691.0,0,0,basel-region,47.397434000000004,7.691981
126,357294,Kunst und Unterhaltung (Ausflug in die Vergangenheit),1 - easy,Hiking,2.6,00:40,29,266,296.0,0,1,basel-region,47.533871000000005,7.721352
127,133029,Huppergruben,1 - easy,Hiking,6.54,02:00,267,334,546.0,2,2,basel-region,47.475937,7.744675
128,133023,Reinach - Leywald - Aesch,1 - easy,Hiking,4.5,01:15,72,307,364.0,1,2,basel-region,47.485935,7.591651
129,812809,Wandererlebnis mit dem Bus - Reigoldswil - Büren,0 - no rating,Hiking,11.44,03:25,367,439,692.0,0,0,basel-region,47.397419,7.6919770000000005
130,377001,Tafeljura-Tour,0 - no rating,Cycling,33.4,02:56,716,398,739.0,0,0,basel-region,47.405811,7.8709929999999995
131,543657,Interregio-Wanderweg Etappe 6: Liestal – Aesch,1 - easy,Hiking,16.66,05:00,675,294,709.0,2,2,basel-region,47.484283000000005,7.732071
132,613197,BLKB-Wanderung Viadukt Rümlingen - Ruine Homburg,0 - no rating,Hiking,6.68,02:05,246,472,655.0,0,0,basel-region,47.425438,7.850749
133,71375,Route Wasserfallen – Wasserfallen,2 - medium,Hiking,6.6,02:17,325,928,1186.0,3,3,basel-region,47.373608000000004,7.700193
134,350190,Rundwanderung Wasserfallen 470,2 - medium,Hiking,9.86,03:15,426,924,1201.0,0,3,basel-region,47.373634,7.700252000000001
135,130959,Herrliche Velotour durch die Baselbieter Reben,3 - difficult,Cycling,67.5,04:15,956,273,642.0,3,5,basel-region,47.520229,7.712147
136,749250,Rebenweg Ziefen,1 - easy,Hiking,2.97,00:50,97,421,517.0,0,2,basel-region,47.431274,7.7063440000000005
137,371236,Schauenburger-Tour,2 - medium,Mountainbike,22.31,02:30,505,305,713.0,3,3,basel-region,47.501839000000004,7.719425
138,610987,BLKB-Rundwanderung Aesch - Ruine Pfeffingen - Blattenpass - Klus - Aesch,0 - no rating,Hiking,13.05,03:52,418,312,606.0,0,0,basel-region,47.469048,7.597038
139,670386,Erlebnispfad wisenbergwärts,0 - no rating,Thematic route,11.74,03:50,556,446,1000.0,0,0,basel-region,47.438915,7.851404
140,357309,"Läufelfingen, Neu-Homburg",1 - easy,Hiking,6.59,02:00,292,542,800.0,1,2,basel-region,47.392353,7.856350999999999
141,357316,Diegtertal - Witwald,3 - difficult,Hiking,5.45,03:00,312,492,787.0,5,3,basel-region,47.404793,7.809487
142,133038,Königstour: Vom Jura ins Mittelland und zurück,2 - medium,Cycling,41.22,03:30,1055,391,991.0,2,4,basel-region,47.405792,7.870966
143,201330,Froburg,3 - difficult,Hiking,7.2,02:18,301,569,833.0,4,5,basel-region,47.379065999999995,7.871974000000001
144,153939,Von der Ermitage zum Gempenturm,1 - easy,Hiking,11.58,03:35,432,293,759.0,1,2,basel-region,47.49474,7.619062
145,371242,Gempen-Nordtrail-Tour,2 - medium,Mountainbike,30.23,03:13,554,271,759.0,2,3,basel-region,47.513725,7.618182000000001
146,126148,Von Pratteln zur Ermitage Arlesheim,2 - medium,Hiking,12.18,03:30,400,289,663.0,3,2,basel-region,47.522529999999996,7.6911119999999995
147,357319,Ermitage,1 - easy,Hiking,5.08,01:30,252,335,556.0,1,2,basel-region,47.492214000000004,7.6207460000000005
148,320783,Wasserfallen Rundwanderweg 470,3 - difficult,Hiking,9.96,03:00,432,924,1201.0,5,4,basel-region,47.373569,7.700172
149,132992,Giessenfall & Wisenbergturm,2 - medium,Hiking,12.01,03:30,580,438,1001.0,2,4,basel-region,47.439071999999996,7.851217999999999
150,133041,Ermitage & Gempenturm,2 - medium,Hiking,14.9,04:15,540,310,760.0,2,4,basel-region,47.494602,7.618714999999999
151,548332,469 Wildenstein - Ryfenstein,3 - difficult,Hiking,16.9,04:50,439,318,691.0,0,5,basel-region,47.484844,7.729528
152,610986,BLKB-Wanderung Langenbruck - Hintere Egg- Wasserfallen,0 - no rating,Hiking,9.09,03:07,557,722,1159.0,0,0,basel-region,47.351593,7.764064
153,357329,Sissach - Schauplatz der Geschichte,1 - easy,Hiking,6.91,03:30,364,368,700.0,1,2,basel-region,47.465565000000005,7.809216999999999
154,348147,Rundwanderung für kurze Beine,0 - no rating,Hiking,3.51,01:05,144,924,1068.0,0,0,basel-region,47.373589,7.70015
155,377010,Endless Trail,3 - difficult,Mountainbike,14.03,01:20,488,367,743.0,5,3,basel-region,47.462902,7.8122169999999995
156,133003,Bluescht & Schwarzbuebe,2 - medium,Hiking,8.14,03:15,390,322,600.0,1,3,basel-region,47.485058,7.73073
157,377000,Leimental-Tour,0 - no rating,Cycling,39.7,03:06,424,265,545.0,0,0,basel-region,47.547996999999995,7.5898710000000005
158,133033,Rundwanderung Wasserfallen - Hinderi Egg,1 - easy,Hiking,4.25,01:30,254,924,1168.0,2,2,basel-region,47.373562,7.700163000000001
159,371239,Liestaler-Tour,2 - medium,Mountainbike,29.19,02:30,687,278,614.0,3,4,basel-region,47.501289,7.719359
160,321333,Reben-Tour,0 - no rating,Cycling,40.67,03:53,813,306,593.0,0,0,basel-region,47.48502,7.731180999999999
161,133040,Höhenrausch: nur Fliegen ist schöner,2 - medium,Cycling,33.3,03:00,980,440,1055.0,2,3,basel-region,47.405811,7.870939999999999
162,1022698,Läufelfingen - Bad Ramsach - Hauenstein -Olten,2 - medium,Hiking,14.94,04:45,550,390,1001.0,0,4,basel-region,47.392139,7.856485
163,610999,BLKB-Wanderung Galms- Huppergruben,0 - no rating,Hiking,6.6,09:23,220,329,547.0,0,0,basel-region,47.476677,7.744781
164,812802,Wandererlebnis mit dem Bus - Reigoldswil - Bubendorf,0 - no rating,Hiking,11.8,03:20,248,372,691.0,0,0,basel-region,47.397434000000004,7.691981
165,132999,Tafeljura & schmuckes Oltingen,1 - easy,Hiking,9.77,02:30,210,445,630.0,1,2,basel-region,47.449104,7.939045
166,529726,Beizenrunde,1 - easy,Mountainbike,16.9,02:15,721,536,1145.0,2,0,basel-region,47.390888000000004,7.695850999999999
167,276190,Über den Blauen,2 - medium,Hiking,16.5,04:45,460,337,837.0,2,4,basel-region,47.459221,7.589222
168,543179,Baselbieter Chirsiweg,2 - medium,Hiking,10.68,03:02,337,446,632.0,0,3,basel-region,47.43911,7.851161
169,133046,"Laufental: Berge, Täler und der Dom von Arlesheim",3 - difficult,Cycling,68.02,05:00,1015,292,700.0,2,5,basel-region,47.484772,7.730795
170,357288,Zur Bautechnik (Ausflug in die Vergangenheit),1 - easy,Hiking,6.19,01:40,44,261,300.0,0,1,basel-region,47.533497,7.722767999999999
171,130963,Gigatrail Mountainbike-Route,2 - medium,Mountainbike,33.96,04:30,1127,391,1055.0,3,4,basel-region,47.348209000000004,7.902286999999999
172,362626,Plateau-Tour,0 - no rating,Cycling,41.19,03:18,745,315,719.0,0,0,basel-region,47.484653,7.730608
173,812813,Wandererlebnis mit dem Bus - Herbsberg -Liestal,0 - no rating,Hiking,6.66,02:00,162,312,607.0,0,0,basel-region,47.489845,7.78257
174,133035,Langenbruck - Hinderi Egg - Wasserfallen,2 - medium,Hiking,9.8,03:00,568,722,1168.0,2,3,basel-region,47.351948,7.764247
175,163627,Mytische Orte am Oberrhein - Eptingen – Otlingen,3 - difficult,Cycling,70.94,06:00,994,290,991.0,0,6,basel-region,47.522141,7.692022
176,130625,ViaSurprise-Zubringer: Langenbruck - Wasserfallen,2 - medium,Hiking,8.08,03:30,628,701,1154.0,1,3,basel-region,47.348557,7.768560000000001
177,27804,The Three Country Cycling Trail,2 - medium,Cycling,197.93,12:00,2153,205,614.0,3,3,basel-region,47.467690000000005,7.6027070000000005
178,130657,ViaSurprise-Rundroute: Zwingen - Mariastein,2 - medium,Hiking,10.42,03:15,540,340,788.0,1,3,basel-region,47.433937,7.531042
179,357313,Neanderthaler im Eital?,1 - easy,Hiking,4.3,02:00,121,445,566.0,2,2,basel-region,47.44532,7.888192
180,418411,"Arlesheim nach Nuglar, Schweiz",0 - no rating,Hiking,10.37,03:14,503,332,761.0,0,0,basel-region,47.494015000000005,7.619888
181,357287,Gesellschaft (Ausflug in die Vergangenheit),1 - easy,Hiking,2.22,01:00,17,284,301.0,0,1,basel-region,47.533371,7.721897
182,65898,Route Bubendorf – Reigoldswil,0 - no rating,Hiking,10.54,03:17,392,379,695.0,0,0,basel-region,47.445568,7.735060000000001
183,69487,Wasserfallen-Kamm-Route,2 - medium,Hiking,8.98,04:00,277,558,1201.0,0,4,basel-region,47.373703000000006,7.700317
184,626840,Basel-Laufen,1 - easy,Mountainbike,23.22,01:43,474,284,584.0,3,4,basel-region,47.543751,7.581639999999999
185,371234,Diegtertal-Tour,1 - easy,Mountainbike,33.35,02:45,864,371,758.0,2,2,basel-region,47.447441,7.788416000000001
186,744807,Fr Tour 2.0,2 - medium,Mountainbike,28.66,02:52,428,277,530.0,4,4,basel-region,47.55122,7.5403
187,159633,Höhenwanderung im Solothurner Jura,2 - medium,Hiking,16.83,05:30,650,565,1204.0,2,4,basel-region,47.373657,7.700253
188,371237,Fünflibertal-Tour,2 - medium,Mountainbike,38.54,04:14,802,316,730.0,1,3,basel-region,47.485023,7.730886999999999
189,357292,Wasser (Ausflug in die Vergangenheit),1 - easy,Hiking,10.11,02:40,94,261,355.0,0,2,basel-region,47.536533,7.7108360000000005
190,587653,Wanderung in der Blütezeit,1 - easy,Hiking,7.81,01:59,132,291,363.0,2,3,basel-region,47.505066,7.728327
191,371232,Rhein-Tour,2 - medium,Mountainbike,37.42,03:57,698,278,571.0,2,3,basel-region,47.501518,7.719716
192,584681,Sissacherflueh,2 - medium,Hiking,3.9,01:13,114,664,742.0,3,2,basel-region,47.480843,7.81787
